number,filename,title,status,date,related
1,ADR-0001-one-semantic-op-model.md,One Semantic Op Model,Proposed,2026-04-14,"6,7,14,23,24,25"
2,ADR-0002-package-dag-and-ownership.md,Package DAG and Ownership,Proposed,2026-04-14,"3,15,16,20,22,25"
3,ADR-0003-spec-first-authoritative-spec-layer.md,Spec-First Authoritative Spec Layer,Proposed,2026-04-14,"1,4,6,7,16,17,18,19"
4,ADR-0004-specification-merge-precedence.md,Specification Merge Precedence,Proposed,2026-04-14,"3,6,10,11,16,17,18,19"
5,ADR-0005-asgi3-boundary-and-projection-rules.md,ASGI3 Boundary and Projection Rules,Proposed,2026-04-14,"6,7,16,22,23,24,25"
6,ADR-0006-protocol-binding-model.md,Protocol Binding Model,Proposed,2026-04-14,"1,3,5,7,14,16,18,23"
7,ADR-0007-first-class-protocol-support-matrix.md,First-Class Protocol Support Matrix,Proposed,2026-04-14,"5,6,14,16,21,22,23,24,25"
8,ADR-0008-atom-catalog-and-atom-legality.md,Atom Catalog and Atom Legality,Proposed,2026-04-14,"9,10,11,12,13,16,23,24,25"
9,ADR-0009-phase-model-and-phase-legality.md,Phase Model and Phase Legality,Proposed,2026-04-14,"8,10,11,12,16,23,24,25"
10,ADR-0010-hook-model-and-selector-semantics.md,Hook Model and Selector Semantics,Proposed,2026-04-14,"4,8,9,11,12,17,18,23,24"
11,ADR-0011-security-deps-and-deps-ordering.md,Security Deps and Deps Ordering,Proposed,2026-04-14,"4,9,10,12,16"
12,ADR-0012-db-guards-and-transaction-guardrails.md,DB Guards and Transaction Guardrails,Proposed,2026-04-14,"8,9,11,13,15,16"
13,ADR-0013-default-canonical-oltp-ops.md,Default Canonical OLTP Ops,Proposed,2026-04-14,"8,12,14,15,16"
14,ADR-0014-rest-jsonrpc-semantic-parity.md,REST and JSON-RPC Semantic Parity,Proposed,2026-04-14,"1,6,7,13,15,16"
15,ADR-0015-engine-interoperability-contract.md,Engine Interoperability Contract,Proposed,2026-04-14,"2,12,13,14,16"
16,ADR-0016-kernel-plan-compilation-packing-fusion-compaction.md,"Kernel Plan Compilation, Packing, Fusion, and Compaction",Proposed,2026-04-14,"2,3,4,8,9,11,12,15,20,23,24,25"
17,ADR-0017-decorators-are-declarative-sugar.md,Decorators Are Declarative Sugar,Proposed,2026-04-14,"3,4,18,19"
18,ADR-0018-shortcuts-and-aliases-expand-to-canonical-forms.md,Shortcuts and Aliases Expand to Canonical Forms,Proposed,2026-04-14,"3,6,7,17,19"
19,ADR-0019-make-define-derive-pattern.md,Make / Define / Derive Pattern,Proposed,2026-04-14,"3,4,16,17,18,20"
20,ADR-0020-python-rust-parity-contract.md,Python / Rust Parity Contract,Proposed,2026-04-14,"2,3,16,21,22,23,24,25"
21,ADR-0021-certification-boundary-and-promotion-gates.md,Certification Boundary and Promotion Gates,Proposed,2026-04-14,"7,20,22,23,24,25"
22,ADR-0022-tigrcorn-uvicorn-hypercorn-interop-and-conformance.md,Tigrcorn / Uvicorn / Hypercorn Interop and Conformance,Proposed,2026-04-14,"5,7,20,21,23,24,25"
23,ADR-0023-exchange-model.md,Exchange Model,Proposed,2026-04-14,"6,7,16,24,25"
24,ADR-0024-runtime-family-model.md,Runtime Family Model,Proposed,2026-04-14,"5,7,9,10,16,23,25"
25,ADR-0025-opchannel-and-runtime-io-abstraction.md,OpChannel and Runtime IO Abstraction,Proposed,2026-04-14,"2,5,16,20,22,23,24"
