"id","title","status","horizon","tests","specs"
"feat:app-framed-message-codec-runtime-001","App-framed message codec runtime","absent",,"1","spc:2101;spc:2107;spc:2108"
"feat:http-rest-jsonrpc-atom-chains-001","HTTP REST and JSON-RPC atom chains","absent",,"0","spc:2097;spc:2098;spc:2105"
"feat:json-schema-uix-surface-001","JSON Schema UIX surface","absent",,"14","spc:2010;spc:2090"
"feat:python-request-hot-path-no-ddl-001","Python request hot path excludes DDL","absent",,"2","spc:2086;spc:2088;spc:2090"
"feat:rust-request-envelope-contract-001","Rust request envelope contract","absent",,"2","spc:2089;spc:2090"
"feat:appspec-routerspec-composition-001","AppSpec and RouterSpec composition","implemented",,"1","spc:1000;spc:2025"
"feat:auth-failure-projection-parity-001","Authorization failure projection parity","implemented",,"8","spc:2012;spc:2080;spc:2090"
"feat:canonical-datatype-catalog-semantic-center-001","Canonical datatype catalog and semantic center","implemented",,"3","spc:2025;spc:2090"
"feat:columnspec-datatype-attachment-point-001","ColumnSpec datatype attachment point","implemented",,"3","spc:2025;spc:2090"
"feat:datatype-adapter-registry-contract-001","Datatype adapter and registry contract","implemented",,"2","spc:2025"
"feat:default-canonical-engine-family-datatype-alignment-001","Default canonical engine-family datatype alignment","implemented",,"2","spc:2027;spc:2062;spc:2090"
"feat:docs-support-001","Canonical documentation support surfaces","implemented",,"16","spc:2010;spc:2077;spc:2078;spc:2079;spc:2080;spc:2090"
"feat:engine-datatype-lowering-registry-bridge-001","Engine datatype lowering and registry bridge","implemented",,"3","spc:2025;spc:2027;spc:2090"
"feat:external-error-detail-sanitization-001","External persistence error detail sanitization","implemented",,"5","spc:2012;spc:2096;spc:2090"
"feat:gate-a-boundary-freeze-manifest","Gate A boundary-freeze manifest","implemented",,"3",""
"feat:gate-a-current-cycle-boundary-freeze-marker","Gate A current-cycle boundary-freeze marker","implemented",,"3",""
"feat:jsonrpc-input-validation-before-persistence-001","JSON-RPC input validation before persistence","implemented",,"3","spc:2012;spc:2014;spc:2090"
"feat:jsonrpc-persistence-error-sanitization-001","JSON-RPC persistence exception response sanitization","implemented",,"3","spc:2012;spc:2090"
"feat:next-target-datatype-table-isolation","Next-target datatype/table isolation","implemented",,"2",""
"feat:reflected-datatype-mapper-reverse-mapping-001","Reflected datatype mapper and reverse mapping","implemented",,"2","spc:2025"
"feat:rfc-8785-jcs-canonicalizer-001","RFC 8785 JCS canonicalizer","implemented",,"3","spc:2076;spc:2090"
"feat:rfc-8785-jcs-conformance-vectors-001","RFC 8785 JCS conformance vectors","implemented",,"3","spc:2076;spc:2090"
"feat:rfc-8785-jcs-rejection-semantics-001","RFC 8785 JCS rejection semantics","implemented",,"2","spc:2076"
"feat:schema-reflection-roundtrip-recovery-001","Schema reflection round-trip recovery","implemented",,"2","spc:2025"
"feat:transport-parity-contract-001","REST and JSON-RPC parity through the shared dispatch path","implemented",,"8","spc:2013;spc:2024;spc:2090"
