row_origin,topic,feature_id,title,implementation_status,lifecycle_stage,adr_ids,spec_ids,code_paths,doc_paths,test_paths
registry,auth-security,feat:anon-access-projection-001,Anonymous access projection,partial,active,adr:1032,spc:2012,,.ssot/adr/ADR-1032-status-auth-and-error-projections-derive-from-canonical-outcomes.yaml;.ssot/specs/SPEC-2012-status-auth-and-error-parity.yaml,
registry,auth-security,feat:anon-access-rest-status-parity-001,Anonymous access and REST create status parity,partial,active,adr:1032,spc:2012,,.ssot/adr/ADR-1032-status-auth-and-error-projections-derive-from-canonical-outcomes.yaml;.ssot/specs/SPEC-2012-status-auth-and-error-parity.yaml,
registry,auth-security,feat:apikey-security-dependency-001,APIKey security dependency,partial,active,adr:1032,spc:2012,,.ssot/adr/ADR-1032-status-auth-and-error-projections-derive-from-canonical-outcomes.yaml;.ssot/specs/SPEC-2012-status-auth-and-error-parity.yaml,
registry,auth-security,feat:auth-failure-projection-parity-001,Authorization failure projection parity,partial,active,adr:1032,spc:2012,,.ssot/adr/ADR-1032-status-auth-and-error-projections-derive-from-canonical-outcomes.yaml;.ssot/specs/SPEC-2012-status-auth-and-error-parity.yaml,
registry,auth-security,feat:error-envelope-structure-parity-001,Error envelope structure parity,partial,active,adr:1032,spc:2012,,.ssot/adr/ADR-1032-status-auth-and-error-projections-derive-from-canonical-outcomes.yaml;.ssot/specs/SPEC-2012-status-auth-and-error-parity.yaml,
registry,auth-security,feat:error-parity-response-structure-001,"Error parity, validation parity, and response structure",partial,active,adr:1032,spc:2012,pkgs/core/tigrbl_concrete/tigrbl_concrete/_concrete/_event_stream_response.py;pkgs/core/tigrbl_concrete/tigrbl_concrete/_concrete/_response.py;pkgs/core/tigrbl_concrete/tigrbl_concrete/_concrete/_streaming_response.py,.ssot/adr/ADR-1032-status-auth-and-error-projections-derive-from-canonical-outcomes.yaml;.ssot/specs/SPEC-2012-status-auth-and-error-parity.yaml,
registry,auth-security,feat:httpbasic-security-dependency-001,HTTPBasic security dependency,partial,active,adr:1032,spc:2012,,.ssot/adr/ADR-1032-status-auth-and-error-projections-derive-from-canonical-outcomes.yaml;.ssot/specs/SPEC-2012-status-auth-and-error-parity.yaml,
registry,auth-security,feat:httpbearer-security-dependency-001,HTTPBearer security dependency,partial,active,adr:1032,spc:2012,,.ssot/adr/ADR-1032-status-auth-and-error-projections-derive-from-canonical-outcomes.yaml;.ssot/specs/SPEC-2012-status-auth-and-error-parity.yaml,
registry,auth-security,feat:mutualtls-security-dependency-001,MutualTLS security dependency,partial,active,adr:1032,spc:2012,,.ssot/adr/ADR-1032-status-auth-and-error-projections-derive-from-canonical-outcomes.yaml;.ssot/specs/SPEC-2012-status-auth-and-error-parity.yaml,
registry,auth-security,feat:oauth2-security-dependency-001,OAuth2 security dependency,partial,active,adr:1032,spc:2012,,.ssot/adr/ADR-1032-status-auth-and-error-projections-derive-from-canonical-outcomes.yaml;.ssot/specs/SPEC-2012-status-auth-and-error-parity.yaml,
