feature_id,category,protocol,family,exchange,title,purpose,owner_surface,minimum_first_slice
feat:contract-ingress-scope-normalization-001,atoms,all,all,all,Contract ingress scope normalization,Normalize raw ASGI scope data into the contract scope shape before dispatch.,tigrbl_atoms,false
feat:contract-ingress-event-normalization-001,atoms,all,all,all,Contract ingress event normalization,Normalize inbound ASGI event data into contract event vocabulary.,tigrbl_atoms,false
feat:contract-dispatch-binding-family-legality-001,atoms,all,all,all,Contract dispatch binding family legality,Enforce Binding to Family legality during dispatch.,tigrbl_atoms,true
feat:contract-dispatch-subevent-legality-001,atoms,all,all,all,Contract dispatch subevent legality,Enforce Binding to Subevent and Family to Subevent legality during dispatch.,tigrbl_atoms,true
feat:contract-wire-in-payload-shape-001,atoms,all,request;session;message;stream;datagram,unary;server_stream;duplex,Contract wire-in payload shape,Decode and validate inbound payload shape for request message stream and datagram families.,tigrbl_atoms,false
feat:contract-wire-out-payload-shape-001,atoms,all,request;session;message;stream;datagram,unary;server_stream;duplex,Contract wire-out payload shape,Encode semantic results into contract-compatible outbound payloads.,tigrbl_atoms,false
feat:contract-egress-event-projection-001,atoms,all,all,all,Contract egress event projection,Project semantic results into legal outbound transport event types.,tigrbl_atoms,true
feat:contract-emit-completion-event-001,atoms,all,all,all,Contract emit completion event,Emit or record transport.emit.complete with contract completion semantics.,tigrbl_atoms,true
feat:contract-error-event-projection-001,atoms,all,all,all,Contract error event projection,Project runtime failures into legal transport-specific error events.,tigrbl_atoms,false
feat:contract-ingress-phase-obligations-001,phases,all,all,all,Contract ingress phase obligations,Declare contract normalization obligations for ingress phases.,tigrbl_runtime,false
feat:contract-dispatch-phase-obligations-001,phases,all,all,all,Contract dispatch phase obligations,Declare binding family and subevent legality obligations for dispatch phases.,tigrbl_runtime,false
feat:contract-wire-phase-obligations-001,phases,all,all,all,Contract wire phase obligations,Declare inbound and outbound payload shape obligations for wire phases.,tigrbl_runtime,false
feat:contract-egress-phase-obligations-001,phases,all,all,all,Contract egress phase obligations,Declare event projection obligations for egress phases.,tigrbl_runtime,false
feat:contract-emit-phase-obligations-001,phases,all,all,all,Contract emit phase obligations,Declare outbound send or queue obligations for emit phases.,tigrbl_runtime,false
feat:contract-post-emit-phase-obligations-001,phases,all,all,all,Contract POST_EMIT phase obligations,Align POST_EMIT with contract completion semantics.,tigrbl_runtime,true
feat:contract-error-phase-obligations-001,phases,all,all,all,Contract error phase obligations,Declare transport-aware failure projection obligations for error phases.,tigrbl_runtime,false
feat:contract-stage-raw-asgi-received-001,stages,all,all,all,Contract raw ASGI received stage,Represent the context state before contract normalization.,tigrbl_atoms,false
feat:contract-stage-scope-normalized-001,stages,all,all,all,Contract scope normalized stage,Represent the context state after ContractScope projection.,tigrbl_atoms,true
feat:contract-stage-event-normalized-001,stages,all,all,all,Contract event normalized stage,Represent the context state after ContractEvent projection.,tigrbl_atoms,false
feat:contract-stage-binding-matched-001,stages,all,all,all,Contract binding matched stage,Represent the context state after transport binding selection.,tigrbl_atoms,true
feat:contract-stage-family-validated-001,stages,all,all,all,Contract family validated stage,Represent the context state after Binding to Family legality validation.,tigrbl_atoms,true
feat:contract-stage-subevent-validated-001,stages,all,all,all,Contract subevent validated stage,Represent the context state after Binding and Family subevent legality validation.,tigrbl_atoms,true
feat:contract-stage-op-resolved-001,stages,all,all,all,Contract op resolved stage,Represent the context state after KernelPlan op resolution.,tigrbl_kernel,false
feat:contract-stage-transport-encoded-001,stages,all,all,all,Contract transport encoded stage,Represent the context state after outbound contract event encoding.,tigrbl_atoms,false
feat:contract-stage-emit-completed-001,stages,all,all,all,Contract emit completed stage,Represent the context state after transport completion is observed.,tigrbl_atoms,true
feat:contract-request-response-chain-001,phase-chains,http.rest;https.rest;http.jsonrpc;https.jsonrpc,request,unary,Contract request response chain,Govern the chain shape for rest and jsonrpc unary request response work.,tigrbl_kernel,true
feat:contract-server-stream-chain-001,phase-chains,http.stream;https.stream;http.sse;https.sse,request;stream;session;message,server_stream,Contract server stream chain,Govern the chain shape for http.stream and sse server-stream work.,tigrbl_kernel,false
feat:contract-session-message-chain-001,phase-chains,http.sse;https.sse;ws;wss;webtransport,session;message,server_stream;duplex,Contract session message chain,Govern the chain shape for websocket webtransport and sse session/message work.,tigrbl_kernel,false
feat:contract-stream-chain-001,phase-chains,http.stream;https.stream;webtransport,stream,server_stream;duplex,Contract stream chain,Govern the chain shape for stream chunk input output and completion work.,tigrbl_kernel,false
feat:contract-datagram-chain-001,phase-chains,webtransport,datagram,duplex,Contract datagram chain,Govern the chain shape for webtransport datagram work.,tigrbl_kernel,false
feat:contract-lifespan-chain-001,phase-chains,lifespan,,,Contract lifespan chain,Govern ASGI lifespan as framework lifecycle rather than OpSpec dispatch.,tigrbl_runtime,true
feat:contract-error-chain-001,phase-chains,all,all,all,Contract error chain,Govern transport-specific error projection chains.,tigrbl_kernel,false
feat:contract-binding-sensitive-edge-atoms-001,phase-chains,all,all,all,Contract binding-sensitive edge atoms,Inject binding-specific atoms at ingress dispatch egress emit and error boundaries.,tigrbl_kernel,true
feat:contract-op-binding-projection-001,ops,all,all,all,Contract op binding projection,Project each OpSpec binding into the external contract Binding vocabulary.,tigrbl_core,true
