"id","title","implementation_status","planning_horizon"
"feat:app-framed-message-codec-runtime-001","App-framed message codec runtime","absent",
"feat:asyncapi-uix-surface-001","AsyncAPI UIX surface","absent",
"feat:bindingspec-event-subevent-schema-001","BindingSpec event and subevent schema","absent",
"feat:bindingspec-kernelplan-protocol-compilation-001","BindingSpec KernelPlan protocol compilation","absent",
"feat:binding-subevent-phase-atom-legality-matrix-001","Binding subevent phase atom legality matrix","absent",
"feat:canonical-exchange-normalization-001","Canonical exchange normalization","absent",
"feat:canonical-ingress-route-phase-cleanup-001","Canonical INGRESS_ROUTE phase cleanup","absent",
"feat:compiled-loop-regions-001","Compiled loop regions","absent",
"feat:completion-fence-emit-complete-001","Completion fence emit-complete semantics","absent",
"feat:derived-runtime-subevent-taxonomy-001","Derived runtime subevent taxonomy","absent",
"feat:dispatch-exchange-family-subevent-atoms-001","Dispatch exchange family subevent atoms","absent",
"feat:eventful-channel-state-metadata-001","Eventful channel state metadata","absent",
"feat:eventful-protocol-decorator-surface-001","Eventful protocol decorator surface","absent",
"feat:eventkey-bit-coded-dispatch-001","EventKey bit-coded dispatch","absent",
"feat:eventkey-hook-bucket-compilation-001","EventKey hook bucket compilation","absent",
"feat:extended-hook-selector-matching-001","Extended hook selector matching","absent",
"feat:first-class-callback-runtime-001","First-class callback runtime","absent",
"feat:first-class-webhook-delivery-001","First-class webhook delivery","absent",
"feat:framing-decode-encode-atoms-001","Framing decode and encode atoms","absent",
"feat:healthz-uix-surface-001","Healthz UIX surface","absent",
"feat:http-rest-jsonrpc-atom-chains-001","HTTP REST and JSON-RPC atom chains","absent",
"feat:http-stream-atom-chains-001","HTTP stream atom chains","absent",
"feat:json-schema-uix-surface-001","JSON Schema UIX surface","absent",
"feat:kernelz-uix-surface-001","Kernelz UIX surface","absent",
"feat:lifespan-runtime-chain-001","Lifespan runtime chain","absent",
"feat:message-datagram-runtime-families-001","Message and datagram runtime families","absent",
"feat:opchannel-capability-handshake-001","OpChannel capability handshake","absent",
"feat:owner-dispatch-loop-modes-001","Owner and dispatch loop modes","absent",
"feat:phase-tree-error-branches-001","Phase tree error branches","absent",
"feat:post-emit-completion-fence-compilation-001","POST_EMIT completion fence compilation","absent",
"feat:primary-secondary-subevent-selection-001","Primary and secondary subevent selection","absent",
"feat:protocol-anchor-ordering-parity-001","Protocol anchor ordering parity","absent",
"feat:protocol-fused-segments-001","Protocol fused segments","absent",
"feat:protocol-phase-tree-plans-001","Protocol phase tree plans","absent",
"feat:protocol-runtime-boundary-certification-001","Protocol runtime boundary certification","absent",
"feat:protocol-runtime-profile-pack-001","Protocol runtime profile pack","absent",
"feat:protocol-runtime-ssot-feature-granularity-001","Protocol runtime SSOT feature granularity","absent",
"feat:protocol-runtime-test-evidence-suite-001","Protocol runtime test evidence suite","absent",
"feat:protocol-scope-schemas-001","Protocol scope schemas","absent",
"feat:python-asgi-boundary-evidence-001","Python ASGI boundary evidence","absent",
"feat:python-direct-runtime-microbench-001","Python direct runtime microbenchmark lane","absent",
