claim_registry_row_id,claim_id,claim_title,claim_state,claim_public,claim_certified_boundary,claim_owner,claim_profile_or_phase,claim_lifecycle,claim_tier_target,claim_status,mapped_feature_ids,required_test_pointers,evidence_bundle_ids,evidence_artifact_ids,evidence_pointers
CREG-0001,BLK-001,The active 0.3.19.dev1 line is not certifiably fully featured.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_certification_tree.py,EBND-0002;EBND-0024,EART-0003;EART-0096,certification/claims/blocked.yaml;reports/current_state/2026-04-09-phase6-tigrcorn-hardening.md
CREG-0002,BLK-002,The active 0.3.19.dev1 line is not certifiably fully RFC compliant.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_certification_tree.py,EBND-0002;EBND-0024,EART-0003;EART-0096,certification/claims/blocked.yaml;reports/current_state/2026-04-09-phase6-tigrcorn-hardening.md
CREG-0003,BLK-003,Engine-family datatype alignment lacks feature-specific proof slices.,blocked,False,False,Next-target program,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_certification_tree.py;pkgs/core/tigrbl_core/tests/test_engine_family_alignment.py,EBND-0001;EBND-0002;EBND-0002,EART-0002;EART-0003;EART-0007,.github/workflows/next-target-datatypes.yml;certification/claims/blocked.yaml;certification/targets/next_target.yaml
CREG-0004,BLK-004,Native backend claims must remain blocked until Python-vs-Rust parity lanes pass as release evidence.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_phase4_native_parity.py,EBND-0002;EBND-0023,EART-0003;EART-0091,certification/claims/blocked.yaml;reports/certification_state/2026-04-09-phase4-native-parity.md
CREG-0005,BLK-005,Tigrcorn interop and benchmark certification claims must remain blocked until governed release evidence populates the public bundle targets.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_phase5_tigrcorn_operator_surface.py,EBND-0002;EBND-0023,EART-0003;EART-0092,certification/claims/blocked.yaml;reports/certification_state/2026-04-09-phase5-tigrcorn-operator-surface.md
CREG-0006,BLK-006,Tigrcorn hardening and negative-certification claims must remain blocked until profile-specific negative corpora run as governed release evidence.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_phase6_tigrcorn_hardening.py,EBND-0002;EBND-0023,EART-0003;EART-0093,certification/claims/blocked.yaml;reports/certification_state/2026-04-09-phase6-tigrcorn-hardening.md
CREG-0007,BLK-007,The active line cannot be promoted until claim lifecycle prerequisites and preserved release evidence are complete.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_phase7_claim_lifecycle.py,EBND-0002;EBND-0010;EBND-0023;EBND-0024,EART-0003;EART-0054;EART-0094;EART-0097,certification/claims/blocked.yaml;docs/conformance/releases/0.3.18/artifacts/certification-bundle.json;reports/certification_state/2026-04-09-phase7-claims-evidence-promotion.md;reports/current_state/2026-04-09-phase7-claims-evidence-promotion.md
CREG-0008,CUR-001,Stable release 0.3.18 remains the frozen current certification boundary.,current,True,True,Governance,current_release,certified,tier_3_certified_release,certified,,tools/ci/tests/test_gate_e_promotion.py,EBND-0002;EBND-0008;EBND-0010;EBND-0010;EBND-0010;EBND-0010,EART-0004;EART-0039;EART-0050;EART-0051;EART-0053;EART-0059,certification/claims/current.yaml;docs/conformance/CURRENT_STATE.md;docs/conformance/releases/0.3.18/;docs/conformance/releases/0.3.18/CLAIMS.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md;docs/conformance/releases/0.3.18/gate-results/gate-e-promotion.md
CREG-0009,CUR-002,OpenAPI 3.1.0 and JSON Schema Draft 2020-12 emission remain in boundary for the frozen release.,current,True,True,Docs & Runtime,current_release,certified,tier_3_certified_release,certified,,pkgs/core/tigrbl_tests/tests/unit/test_phase5_spec_snapshots.py,EBND-0002;EBND-0008;EBND-0010;EBND-0010;EBND-0010;EBND-0012,EART-0004;EART-0040;EART-0052;EART-0053;EART-0056;EART-0064,certification/claims/current.yaml;docs/conformance/CURRENT_TARGET.md;docs/conformance/releases/0.3.18/CURRENT_TARGET_SNAPSHOT.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md;docs/conformance/releases/0.3.18/artifacts/spec-artifacts-manifest.json;pkgs/core/tigrbl/tigrbl/system/docs/openapi/schema.py
CREG-0010,CUR-003,JSON-RPC 2.0 and OpenRPC 1.2.6 framework surfaces remain in the frozen release boundary.,current,True,True,Protocol / RPC Runtime,current_release,certified,tier_3_certified_release,certified,,pkgs/core/tigrbl_tests/tests/unit/test_jsonrpc_openrpc.py,EBND-0002;EBND-0008;EBND-0010;EBND-0010;EBND-0010;EBND-0016,EART-0004;EART-0040;EART-0052;EART-0053;EART-0056;EART-0068,certification/claims/current.yaml;docs/conformance/CURRENT_TARGET.md;docs/conformance/releases/0.3.18/CURRENT_TARGET_SNAPSHOT.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md;docs/conformance/releases/0.3.18/artifacts/spec-artifacts-manifest.json;pkgs/core/tigrbl_concrete/tigrbl_concrete/system/docs/openrpc.py
